Year,r1_country,r1_quantity,r2_country,r2_quantity,r3_country,r3_quantity,r4_country,r4_uantity,r5_country,r5_quantity
2015,Cambodia,"43,606",Pakistan,"38,763",India,"35,972",Malaysia,"31,367",Iraq,"15,866"
2016,India,"40,318",Cambodia,"38,588",Pakistan,"33,001",Philippines,"26,921",Malaysia,"22,493"
2017,India,"50,570",Malaysia,"38,676",Cambodia,"38,579",Philippines,"37,348",Pakistan,"31,717"
2018,India,"63,079",Cambodia,"46,518",Philippines,"36,546",Malaysia,"30,459",Pakistan,"27,310"
2019,India,"75,402",Cambodia,"40,598",Philippines,"35,392",Malaysia,"33,795",Pakistan,"26,510"
2020,India,"68,692",Malaysia,"43,798",Cambodia,"31,847",Philippines,"26,810",Nigeria,"24,996"
2021,India,"79,670",Malaysia,"77,633",Philippines,"32,056",Nigeria,"25,915",Cambodia,"20,580"
2022,India,"68,849",Malaysia,"67,755",Philippines,"29,269",Thailand,"20,972",Pakistan,"20,026"
2023,India,"80,420",Malaysia,"58,030",Philippines,"25,001",Thailand,"20,931",Pakistan,"20,773"
2024,Malaysia,"79,352",India,"66,477",Pakistan,"31,754",Philippines,"25,623",Nigeria,"22,049"
