Year,r1_country,r1_quantity,r2_country,r2_quantity,r3_country,r3_quantity,r4_country,r4_uantity,r5_country,r5_quantity
2015,Canada,"155,912",India,"98,077",Guatemala,"67,739",Chile,"54,688",Honduras,"22,051"
2016,Canada,"152,385",India,"117,840",Guatemala,"69,779",Chile,"59,605",Honduras,"28,139"
2017,Canada,"143,218",India,"118,965",Guatemala,"73,583",Pakistan,"51,162",Chile,"61,513"
2018,Canada,"135,561",India,"97,647",Guatemala,"79,261",Chile,"65,221",Honduras,"45,481"
2019,Canada,"127,519",India,"99,546",Guatemala,"87,848",Chile,"60,579",Honduras,"49,950"
2020,Canada,"81,240",India,"71,225",Guatemala,"80,138",Chile,"41,566",Honduras,"34,491"
2021,Guatemala,"116,613",Canada,"98,107",India,"53,138",Chile,"59,700",Honduras,"53,039"
2022,Guatemala,"118,246",Canada,"96,845",India,"63,027",Chile,"65,121",Honduras,"49,358"
2023,Guatemala,"117,464",Canada,"85,171",India,"72,168",Chile,"61,535",Honduras,"46,348"
2024,Guatemala,"116,116",India,"82,660",Canada,"74,358",Chile,"60,643",Honduras,"44,386"
