Year,r1_country,r1_quantity,r2_country,r2_quantity,r3_country,r3_quantity,r4_country,r4_uantity,r5_country,r5_quantity
2015,Pakistan,"64,315",Ghana,"40,790",Poland,"38,175",United Arab Emirates,"26,900",Ukraine,"26,556"
2016,Pakistan,"66,390",Ghana,"50,103",Poland,"36,454",United Arab Emirates,"27,832",Ukraine,"25,530"
2017,Pakistan,"63,199",Ghana,"57,196",Poland,"44,977",Ukraine,"33,747",Nigeria,"25,563"
2018,Pakistan,"71,020",Ghana,"61,148",Poland,"49,182",Ukraine,"37,982",Nigeria,"27,288"
2019,Pakistan,"67,554",Ghana,"63,419",Poland,"47,395",United Arab Emirates,"35,269",Ukraine,"35,373"
2020,Ghana,"57,361",Pakistan,"42,427",United Arab Emirates,"34,100",Poland,"28,721",Ukraine,"25,959"
2021,Ghana,"63,201",Pakistan,"48,959",Ukraine,"45,987",United Arab Emirates,"41,788",Poland,"41,426"
2022,United Arab Emirates,"75,448",Ghana,"52,575",Poland,"51,223",Pakistan,"51,607",Ukraine,"36,974"
2023,United Arab Emirates,"72,991",Poland,"62,211",Ghana,"55,290",Pakistan,"45,388",Ukraine,"40,627"
2024,United Arab Emirates,"107,557",Ghana,"57,038",Poland,"53,448",Pakistan,"47,022",Ukraine,"43,029"
