Exporters	2015-Exported quantity	2015-Unit	2016-Exported quantity	2016-Unit	2017-Exported quantity	2017-Unit	2018-Exported quantity	2018-Unit	2019-Exported quantity	2019-Unit	2020-Exported quantity	2020-Unit	2021-Exported quantity, Tons	2022-Exported quantity	2022-Unit	2023-Exported quantity	2023-Unit	2024-Exported quantity	2024-Unit	
"World"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"China"	133832	Tons	144878	Tons	241466	Tons	294100	Tons	338214	Tons	290700	Tons	440048	603666	Tons	762057	Tons	1148954	Tons	
"United States of America"	718597	Tons	753882	Tons	788404	Tons	756380	Tons	765872	Tons	621784	Tons	724670	720125	Tons	687561	Tons	672909	Tons	
"Germany"	535638	Tons	521468	Tons	512375	Tons	516974	Tons	532639	Tons	492652	Tons	518126	480955	Tons	452091	Tons	437537	Tons	
"United Kingdom"	351179	Tons	352959	Tons	370204	Tons	395209	Tons	No Quantity	No Quantity	292646	Tons	357741	416763	Tons	419705	Tons	430732	Tons	
"United Arab Emirates"	36571	Tons	59123	Tons	249836	Tons	246308	Tons	274709	Tons	268886	Tons	336474	No Quantity	No Quantity	367683	Tons	390069	Tons	
"Pakistan"	22247	Tons	23308	Tons	21524	Tons	28772	Tons	47794	Tons	217771	Tons	311799	292737	Tons	272743	Tons	307263	Tons	
"Korea, Republic of"	284606	Tons	277630	Tons	323388	Tons	325035	Tons	327448	Tons	298155	Tons	335804	301376	Tons	295494	Tons	305779	Tons	
"Japan"	246124	Tons	239277	Tons	242781	Tons	236085	Tons	260057	Tons	227336	Tons	225526	224647	Tons	214335	Tons	213343	Tons	
"Belgium"	148106	Tons	148608	Tons	181264	Tons	191413	Tons	205520	Tons	205806	Tons	209281	197577	Tons	184591	Tons	172178	Tons	
"Poland"	142396	Tons	163171	Tons	179071	Tons	180825	Tons	195862	Tons	182007	Tons	No Quantity	177799	Tons	171753	Tons	169317	Tons	
"France"	138101	Tons	154756	Tons	155177	Tons	172127	Tons	162203	Tons	130534	Tons	162902	175068	Tons	180488	Tons	166563	Tons	
"Netherlands"	186730	Tons	No Quantity	No Quantity	183380	Tons	156914	Tons	181035	Tons	153157	Tons	No Quantity	167676	Tons	176443	Tons	164342	Tons	
"Spain"	30755	Tons	39759	Tons	50432	Tons	59687	Tons	No Quantity	No Quantity	No Quantity	No Quantity	124287	No Quantity	No Quantity	128921	Tons	137322	Tons	
"Australia"	88669	Tons	91067	Tons	96599	Tons	102270	Tons	107120	Tons	89530	Tons	106726	114748	Tons	113192	Tons	122100	Tons	
"Malaysia"	132052	Tons	119876	Tons	127551	Tons	124730	Tons	112230	Tons	69815	Tons	68900	80300	Tons	84286	Tons	97509	Tons	
"Türkiye"	2422	Tons	5650	Tons	13086	Tons	22846	Tons	122799	Tons	84848	Tons	87552	88760	Tons	95980	Tons	93183	Tons	
"Saudi Arabia"	0		0		0		0		0		0		16	33245	Tons	54066	Tons	71691	Tons	
"Hungary"	42041	Tons	45025	Tons	45239	Tons	48995	Tons	49157	Tons	45914	Tons	64326	68141	Tons	62396	Tons	65889	Tons	
"Switzerland"	63818	Tons	65535	Tons	64676	Tons	67269	Tons	68357	Tons	62144	Tons	67065	60291	Tons	59911	Tons	64502	Tons	
"India"	75133	Tons	71364	Tons	66807	Tons	77587	Tons	81572	Tons	68415	Tons	75908	71782	Tons	69107	Tons	56006	Tons	
"Lithuania"	34449	Tons	36949	Tons	47776	Tons	52809	Tons	50123	Tons	45589	Tons	44823	50387	Tons	51645	Tons	52685	Tons	
"Bulgaria"	20187	Tons	20161	Tons	23560	Tons	27980	Tons	31553	Tons	29694	Tons	31312	34711	Tons	35606	Tons	37130	Tons	
"Taipei, Chinese"	35377	Tons	35170	Tons	38924	Tons	43569	Tons	42023	Tons	31311	Tons	33732	45896	Tons	37564	Tons	35488	Tons	
"Czech Republic"	40471	Tons	41976	Tons	41774	Tons	36703	Tons	39031	Tons	27574	Tons	24503	28766	Tons	30430	Tons	34884	Tons	
"Sweden"	25566	Tons	25386	Tons	25741	Tons	27923	Tons	32460	Tons	33372	Tons	35425	No Quantity	No Quantity	32210	Tons	34654	Tons	
"Austria"	31388	Tons	30038	Tons	37478	Tons	41006	Tons	40438	Tons	30945	Tons	37096	32118	Tons	31604	Tons	32797	Tons	
"Norway"	27643	Tons	28351	Tons	32704	Tons	36251	Tons	37177	Tons	33812	Tons	31658	31413	Tons	30912	Tons	30215	Tons	
"Slovakia"	17510	Tons	17556	Tons	18221	Tons	18658	Tons	21932	Tons	20784	Tons	21773	22839	Tons	24881	Tons	29458	Tons	
"Philippines"	24181	Tons	24764	Tons	11597	Tons	28489	Tons	47311	Tons	33138	Tons	49188	60471	Tons	50703	Tons	28418	Tons	
"Hong Kong, China"	36901	Tons	35826	Tons	20488	Tons	17243	Tons	28123	Tons	10378	Tons	8923	15091	Tons	19036	Tons	27013	Tons	
"Portugal"	14686	Tons	13545	Tons	17268	Tons	22001	Tons	No Quantity	No Quantity	23394	Tons	26265	25872	Tons	21663	Tons	24886	Tons	
"Finland"	12195	Tons	13699	Tons	12515	Tons	12596	Tons	No Quantity	No Quantity	13257	Tons	12609	13010	Tons	No Quantity	No Quantity	20424	Tons	
"Kazakhstan"	25	Tons	15	Tons	9	Tons	5	Tons	919	Tons	5711	Tons	30347	51777	Tons	39634	Tons	19842	Tons	
"Russian Federation"	620	Tons	182	Tons	401	Tons	1160	Tons	1094	Tons	636	Tons	655	37716	Tons	43119	Tons	18875	Tons	
"Tunisia"	26076	Tons	32296	Tons	30457	Tons	30214	Tons	29856	Tons	26418	Tons	35250	29103	Tons	29357	Tons	17273	Tons	
"Greece"	768	Tons	2753	Tons	3407	Tons	5620	Tons	8362	Tons	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	16084	Tons	
"Singapore"	26744	Tons	22426	Tons	19325	Tons	14679	Tons	11241	Tons	9135	Tons	9168	7393	Tons	6507	Tons	15322	Tons	
"Israel"	2871	Tons	3474	Tons	4473	Tons	5035	Tons	4798	Tons	5663	Tons	6246	5997	Tons	12857	Tons	15072	Tons	
"Thailand"	9146	Tons	10385	Tons	9369	Tons	11242	Tons	10804	Tons	10637	Tons	12818	15550	Tons	16579	Tons	14922	Tons	
"Morocco"	8510	Tons	7081	Tons	7232	Tons	8249	Tons	9642	Tons	8210	Tons	9155	6612	Tons	8889	Tons	14452	Tons	
"Togo"	7439	Tons	12176	Tons	13620	Tons	13083	Tons	11751	Tons	10080	Tons	10660	11814	Tons	12595	Tons	14036	Tons	
"Ireland"	11532	Tons	14401	Tons	12513	Tons	11639	Tons	12008	Tons	11355	Tons	11219	No Quantity	No Quantity	No Quantity	No Quantity	12273	Tons	
"Oman"	8798	Tons	4670	Tons	3368	Tons	4010	Tons	5442	Tons	19344	Tons	22218	2647	Tons	2980	Tons	10429	Tons	
"Ukraine"	143	Tons	68	Tons	102	Tons	210	Tons	3062	Tons	5071	Tons	9281	7390	Tons	8672	Tons	8466	Tons	
"New Zealand"	8700	Tons	8163	Tons	8721	Tons	7152	Tons	7326	Tons	6087	Tons	6327	5456	Tons	6312	Tons	7466	Tons	
"Estonia"	11818	Tons	12164	Tons	10939	Tons	9148	Tons	7460	Tons	5779	Tons	6196	5202	Tons	5818	Tons	6188	Tons	
"Kuwait"	11578	Tons	89281	Tons	34025	Tons	10679	Tons	9684	Tons	4579	Tons	6924	7017	Tons	5520	Tons	6126	Tons	
"Niger"	14217	Tons	30	Tons	12	Tons	16	Tons	7857	Tons	2671	Tons	7713	8202	Tons	2609	Tons	5842	Tons	
"Qatar"	501	Tons			1458	Tons	1845	Tons	1528	Tons	1339	Tons	2606	2729	Tons	1993	Tons	3953	Tons	
"Bahrain"	855	Tons	471	Tons	151	Tons	998	Tons	2224	Tons	2355	Tons	2663	2978	Tons	3495	Tons	3925	Tons	
"Romania"	12837	Tons	14037	Tons	11589	Tons	13097	Tons	12254	Tons	10563	Tons	14988	14119	Tons	3938	Tons	3732	Tons	
"Slovenia"	2111	Tons	2027	Tons	2139	Tons	2212	Tons	2139	Tons	2349	Tons	2514	2366	Tons	2216	Tons	3233	Tons	
"Croatia"	829	Tons	1144	Tons	149	Tons	245	Tons	548	Tons	561	Tons	1623	1382	Tons	1884	Tons	3219	Tons	
