Importers	2015-Exported quantity, Tons	2016-Exported quantity, Tons	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	2022-Exported quantity, Tons	2023-Exported quantity, Tons	2024-Exported quantity, Tons	
"World"	535638	521468	512375	516974	532639	492652	518126	480955	452091	437537	
"Netherlands"	75025	82849	81592	84433	91964	87036	86651	77645	74067	69010	
"Poland"	103822	106476	95826	84515	85700	77907	90134	84472	65238	65391	
"Türkiye"	13717	13977	15797	17604	20033	17586	19897	24580	29083	36092	
"United Arab Emirates"	19557	9480	10588	13513	17225	33167	30207	26625	28258	32157	
"Italy"	21086	22190	22410	22852	23368	19254	20610	20017	21515	23541	
"Belgium"	23029	22489	24892	29425	25250	25894	27841	29299	26957	18307	
"Bulgaria"	9866	9011	10594	11878	11690	14123	16449	17881	18669	16779	
"Tunisia"	19657	21730	19305	19774	22397	20760	21972	18936	18797	16090	
"Romania"	15917	18713	21850	22368	23193	18994	20836	18842	16192	15098	
"Hungary"	9384	10266	10240	10034	13822	14892	16218	13045	15269	14115	
"Pakistan"	23873	20295	20119	21733	21427	20047	19178	14017	9955	13823	
"Lithuania"	6018	6389	6751	7755	4581	7213	4089	6304	10979	10927	
"Czech Republic"	27765	23893	23214	22775	20471	15083	11017	11164	11180	10595	
"Togo"	10531	8234	9193	6030	5633	6255	5302	7260	9087	8360	
"Spain"	11603	11139	10967	9172	14164	5206	7340	7538	7800	7461	
"Ukraine"	6523	6463	6223	8177	6266	6755	11886	9242	10640	7143	
"Cameroon"	8356	8412	7964	8127	7345	7921	6463	7706	7850	6825	
"Iraq"	4479	4740	3866	4380	4409	4044	5568	4806	4171	6561	
"Chile"	4942	6742	6712	6177	6662	4813	6876	4871	3422	5437	
"Morocco"	8137	8133	6674	7083	8048	9157	8399	8118	10210	4924	
"Oman"	1473	1390	1442	2488	19		107	59	1436	4447	
"Ghana"	7086	6707	6384	6291	6699	7911	7624	5561	4533	3981	
"Jordan"	2157	1816	1481	1555	2024	2214	2638	2937	3161	3070	
"Belarus"	8189	7985	9208	9876	8210	5768	5205	2663	2749	2647	
"Serbia"	1336	1574	2206	2520	2633	2188	2022	1951	1807	2583	
"Côte d'Ivoire"	2655	2853	2693	2794	3204	3455	4394	3373	2463	2470	
"Bosnia and Herzegovina"	1007	1008	1136	1272	1203	1115	1295	1341	1274	2363	
"India"	9169	8552	6074	7417	18443	13104	11170	8508	4133	2311	
"Slovakia"	4672	4455	3106	3482	2410	2047	3121	5051	5443	2108	
"Lebanon"	5290	4504	4578	4358	2791	1360	2480	2679	1835	1958	
"Benin"	748	701	820	1401	1752	1518	1692	1203	1171	1878	
"France"	1625	1068	1508	1204	873	1151	2024	3636	1665	1337	
"Kazakhstan"	316	300	218	297	652	419	492	1962	1925	1244	
"South Africa"	1905	1125	1363	1435	1457	1359	1447	1258	971	1096	
"Kenya"	6865	5796	4772	4811	3057	1534	2005	1453	735	1021	
"Mali"	1645	1356	1623	2797	3881	3802	2848	1429	709	994	
