Importers	2015-Exported quantity, Tons	2016-Exported quantity, Tons	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	2022-Exported quantity, Tons	2023-Exported quantity, Tons	2024-Exported quantity, Tons	
"World"	351179	352959	370204	395209	No Quantity	292646	357741	416763	419705	430732	
"United Arab Emirates"	26900	27832	23063	27069	35269	34100	41788	75448	72991	107557	
"Ghana"	40790	50103	57196	61148	63419	57361	63201	52575	55290	57038	
"Poland"	38175	36454	44977	49182	47395	28721	41426	51223	62211	53448	
"Pakistan"	64315	66390	63199	71020	67554	42427	48959	51607	45388	47022	
"Ukraine"	26556	25530	33747	37982	35373	25959	45987	36974	40627	43029	
"Benin"	25969	7796	7696	9252	9902	4707	6497	19220	20533	15621	
"Hungary"	16274	20258	18751	17014	23711	14441	11528	13800	14165	12492	
"Kenya"	17955	16292	11998	12291	11970	5227	6854	10075	8108	7323	
"Togo"	14397	12246	11952	11441	10615	5369	5886	6138	5685	7291	
"Côte d'Ivoire"	8070	7512	3786	3879	3851	4846	7764	8214	6389	6110	
"Lithuania"	4953	5190	7471	8913	7884	6047	8554	9430	9539	6077	
"India"	6749	8149	3336	6844	8319	4571	3618	4264	4738	5421	
"Latvia"	3975	4683	6992	8601	7956	6485	6038	9087	8847	5419	
"Morocco"	329	104	50	748	1090	2352	5503	6053	8009	5170	
"Nigeria"	8211	15604	25563	27288	30709	22991	21317	11050	6142	4553	
"Türkiye"	3138	5089	5542	5114	3999	1359	1492	7808	4695	3849	
"Spain"	973	315	709	694	1135	644	1230	3523	5706	3033	
"Thailand"	283	313	284	550	281	144	0	11	53	2748	
"Tunisia"	1258	1033	1705	2663	1471	791	281	740	1698	2699	
"Netherlands"	4779	5734	7553	2443	1315	1727	3210	2495	3163	2300	
"Bulgaria"	204	125	25	18	0	34	86	150	2198	2026	
"Lebanon"	77	270	155	320	516	600	943	1803	2435	1918	
"Jordan"	1650	1897	1717	2105	3107	2056	1664	2534	2067	1856	
"Germany"	5884	4394	3205	2435	2787	1533	1817	1561	2079	1726	
"Georgia"	708	733	821	693	626	768	850	1149	986	1581	
"Czech Republic"	4216	3723	4239	3234	2477	2019	1510	2029	1797	1544	
"Belgium"	1504	1638	1399	1868	2459	1286	2243	3827	2609	1403	
"Gambia"	1072	978	853	821	866	487	299	2463	2078	1371	
"Senegal"	1964	1886	2062	1544	1698	932	990	1744	1736	1303	
"Italy"	2298	5048	4646	555	850	464	431	578	922	1194	
"Estonia"	614	1156	1583	1032	1601	1369	546	765	1067	1153	
"Iraq"	401	527	135	113	139	1022	748	1761	1356	1089	
"Slovakia"	851	1028	665	845	994	292	118	103	245	989	
"Cameroon"	3139	1943	885	873	991	564	686	1713	1534	862	
"Kazakhstan"	0	1	14	14			10	739	1058	843	
"Equatorial Guinea"	837	756	921	1487	1532	839	893	966	623	808	
"Romania"	971	1355	962	811	1061	567	1052	961	441	700	
"Sierra Leone"	1416	1427	650	221	430	338	394	943	928	635	
"Albania"	44	53	146	81	102	89	149	370	594	629	
"Guatemala"								17	51	572	
"Switzerland"	97	57	36	15	145	73	240	541	278	555	
"France"	42	43	57	540	426	798	1193	950	870	454	
"Chile"	22	68	100	87	163	104	374	720	264	419	
"Lesotho"			29	208	237	183	243	44	18	419	
"Tanzania, United Republic of"	1474	808	597	444	915	358	452	587	394	414	
"Malaysia"	51	13	59	231	203	192	660	459	425	413	
"Philippines"	13	204	12	6	135	78	370	419	395	412	
"Guinea"	418	708	350	279	No Quantity	60	82	377	329	381	
"South Africa"	1081	583	701	624	441	200	386	277	209	381	
"Ireland"	238	100	113	788	276	368	402	252	193	334	
"Serbia"	25	29	14	21	17	12	34	123	225	317	
"Somalia"	42	234	228	172	285	230	203	358	240	309	
"United States of America"	93	62	99	25	78	36	252	280	211	273	
"Congo, Democratic Republic of the"	8	27	35	10	3	48	165	958	606	267	
"Finland"	322	349	89	1	4	25	3	5	4	227	
"El Salvador"									47	212	
"Gabon"	625	451	340	332	240	143	237	376	401	198	
"Niger"								204	635	180	
"Greece"	332	48	618	149	50	29	9	112	42	166	
"China"	276	3	3	51	48	22	80	45	49	162	
