Importers	2015-Exported quantity, Tons	2016-Exported quantity, Tons	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	2022-Exported quantity, Tons	2023-Exported quantity, Tons	2024-Exported quantity, Tons	
"World"	718597	753882	788404	756380	765872	621784	724670	720125	687561	672909	
"Guatemala"	67739	69779	73583	79261	87848	80138	116613	118246	117464	116116	
"Canada"	155912	152385	143218	135561	127519	81240	98107	96845	85171	74358	
"Chile"	54688	59605	61513	65221	60579	41566	59700	65121	61535	60643	
"India"	98077	117840	118965	97647	99546	71225	53138	63027	72168	82660	
"Honduras"	22051	28139	39847	45481	49950	34491	53039	49358	46348	44386	
"Mexico"	36460	27097	22522	17958	25122	31244	38896	41277	27632	32718	
"Pakistan"	31025	33076	51162	40017	34315	37508	39020	40920	44109	51873	
"Dominican Republic"	38149	48388	46051	42140	45397	43707	47052	39656	35166	32416	
"Nicaragua"	13574	16559	22493	21271	26610	35039	43915	34753	25287	27642	
"El Salvador"	14856	16028	17653	19917	23240	14599	27326	25328	24460	24529	
"Philippines"	19629	20084	16356	16484	13285	9278	16127	17759	15142	10121	
"United Arab Emirates"	22650	22305	24884	29530	28363	22759	17394	11601	13484	9747	
"Congo, Democratic Republic of the"	9016	12353	15772	15107	13892	11180	9279	10367	9726	5513	
"Liberia"	15202	10391	8454	9136	8477	8458	8119	8609	8964	9334	
"Costa Rica"	8725	8827	8708	8089	6453	4018	4974	8077	12158	9243	
"Tanzania, United Republic of"	13402	12239	10350	8716	7150	5900	5543	7053	5069	3895	
"Senegal"	5043	8971	8425	6117	7127	6064	5885	6604	9058	8256	
"Poland"	1463	1583	1560	1571	1894	4729	5293	6017	3926	3840	
"Angola"	7567	2438	8779	7590	7875	5516	7092	5189	4348	2362	
"Panama"	2281	2613	3374	2869	3212	1557	3835	4963	4269	5958	
"Tunisia"	5637	9110	6633	6927	7583	9043	6725	4606	6663	8520	
"Ukraine"	2546	2659	3014	3706	3992	5109	4958	3809	3312	2919	
"Guinea"	3116	4165	6272	6035	4515	4558	4413	3682	3712	3639	
"Malaysia"	5642	4945	4651	5720	12905	7588	2666	3670	3120	3334	
"Jordan"	5258	3547	3100	3578	3001	2938	2867	3407	3364	2685	
"Ghana"	2013	2367	2352	1994	2831	4180	3996	3367	3914	4022	
"Kenya"	9615	8939	8677	9928	8440	3381	3175	3335	3833	3264	
"Japan"	1553	1917	2208	2146	2162	1627	2285	2666	2486	2633	
"Thailand"	476	1869	2888	3590	3730	2854	1830	2514	2284	2402	
"Nigeria"	1268	949	1212	1971	1904	1367	1786	1887	1571	1775	
"Belize"	648	917	1194	1037	948	901	1198	1536	1280	1402	
"Mauritania"	358	545	611	603	986	527	1109	1237	1217	904	
"Cambodia"	2776	2788	2291	2498	1949	1281	1298	1138	868	905	
"Côte d'Ivoire"	281	575	446	627	924	837	979	1096	1182	604	
"Türkiye"	1740	1551	1634	1453	1790	2005	1297	1094	825	709	
"Lithuania"	1506	405	527	567	730	652	866	1042	1103	1211	
"Mali"	1761	1703	2137	1749	1826	1457	2300	1025	830	486	
"Uganda"	1121	1469	1283	1027	1772	1337	1350	1001	745	653	
"Venezuela, Bolivarian Republic of"	43	60	32	94	274	519	917	969	481	344	
"Italy"	762	1010	1099	1047	1010	446	607	917	597	456	
"Congo"	1188	1357	1067	1006	1340	909	521	905	632	533	
"China"	53	88	5	46	88	429	100	893	1799	12	
"Zambia"	304	461	1223	1882	1654	876	1471	850	519	568	
"Colombia"	68	66	160	265	316	37	358	646	1103	1142	
"Mozambique"	4017	3600	3905	2833	1699	974	1116	634	639	830	
"Sierra Leone"	2063	1331	2128	1917	1399	1067	765	599	641	663	
"Haiti"	1869	1893	1630	891	588	771	809	579	1112	435	
"Lebanon"	923	904	1104	1196	855	285	370	572	1259	1260	
"Madagascar"	612	954	1432	1307	890	738	874	554	751	449	
"Togo"	930	1109	712	1093	975	521	622	511	867	388	
"Bulgaria"	797	2314	1982	2517	2094	2051	809	494	657	736	
"Bolivia, Plurinational State of"	717	568	764	688	291	85	437	447	154	83	
"Gambia"	125	257	207	209	361	423	627	443	377	447	
"United Kingdom"	290	414	473	422	519	420	372	428	500	318	
"Malawi"	228	1291	741	565	533	466	637	397	313	50	
"Iraq"	256	409	1123	517	330	191	192	357	708	291	
"Samoa"	147	172	170	219	118	90	177	355	385	378	
"Niger"	941	191	484	437	892	588	474	354	359	186	
"Georgia"	71	130	146	203	335	267	256	313	369	357	
"Spain"	684	728	723	516	358	255	223	312	231	178	
"Burkina Faso"	234	320	524	769	612	503	475	276	277	226	
"Uruguay"	396	22	6	31	23	77	245	239	25	3	
"France"	236	248	314	269	258	155	120	232	246	290	
"Israel"	145	147	207	149	146	52	59	232	32	33	
"Estonia"	526	127	212	261	196	201	181	219	316	424	
"Cameroon"	676	815	594	466	331	210	237	212	126	119	
"Benin"	5893	3364	2603	2670	2087	1073	404	195	72	112	
